"","params","iteration","train_loss","val_accuracy","val_loss","val_f1","val_precision","val_recall"
"1","{'dropout': 0.2036728603757923, 'hidden_units': 256, 'learning_rate': 0.004556297964856103, 'optimizer': 'RMSprop', 'use_batch_norm': False}",19,2.4543,0.0555,2.4413,0.0058,0.0031,0.0555
"2","{'dropout': 0.26219316579158986, 'hidden_units': 256, 'learning_rate': 0.006265023538715464, 'optimizer': 'RMSprop', 'use_batch_norm': False}",0,2.4575,0.0327,2.4475,0.0021,0.0011,0.0327
"3","{'dropout': 0.4597604258316745, 'hidden_units': 128, 'learning_rate': 0.007319879590893679, 'optimizer': 'Adam', 'use_batch_norm': False}",24,1.8677,0.68,1.8897,0.6862,0.7167,0.68
"4","{'dropout': 0.056822853598098744, 'hidden_units': 64, 'learning_rate': 0.0022026798397664533, 'optimizer': 'RMSprop', 'use_batch_norm': True}",21,1.584,0.8419,1.7116,0.8439,0.853,0.8419
"5","{'dropout': 0.292615308624394, 'hidden_units': 128, 'learning_rate': 0.006122331789665471, 'optimizer': 'RMSprop', 'use_batch_norm': False}",21,2.2135,0.3816,2.2348,0.2493,0.1958,0.3816
"6","{'dropout': 0.04451221844495601, 'hidden_units': 256, 'learning_rate': 0.0023905313991459736, 'optimizer': 'RMSprop', 'use_batch_norm': True}",18,1.5783,0.8547,1.7081,0.8561,0.86,0.8547
"7","{'dropout': 0.2774761835867118, 'hidden_units': 64, 'learning_rate': 0.004734774985323305, 'optimizer': 'Adam', 'use_batch_norm': False}",20,1.6911,0.8087,1.7318,0.8123,0.8285,0.8087
"8","{'dropout': 0.3482275462708033, 'hidden_units': 512, 'learning_rate': 0.0011011506305737408, 'optimizer': 'RMSprop', 'use_batch_norm': False}",0,2.453,0.0477,2.4479,0.0043,0.0023,0.0477
"9","{'dropout': 0.237523586601192, 'hidden_units': 128, 'learning_rate': 0.006481587272989344, 'optimizer': 'Adam', 'use_batch_norm': False}",20,1.9849,0.4853,1.9907,0.3731,0.3187,0.4853
"10","{'dropout': 0.2763522777345044, 'hidden_units': 64, 'learning_rate': 0.0024941259884592153, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.6092,0.8547,1.7147,0.8551,0.8568,0.8547
"11","{'dropout': 0.20766573835147462, 'hidden_units': 256, 'learning_rate': 0.006751329935757798, 'optimizer': 'RMSprop', 'use_batch_norm': False}",0,2.4468,0.1758,2.4649,0.0526,0.0309,0.1758
"12","{'dropout': 0.4362428715945706, 'hidden_units': 256, 'learning_rate': 0.004584936299466612, 'optimizer': 'RMSprop', 'use_batch_norm': False}",0,2.4467,0.0993,2.4636,0.0179,0.0099,0.0993
"13","{'dropout': 0.14156611623796655, 'hidden_units': 64, 'learning_rate': 0.0017946375995047212, 'optimizer': 'RMSprop', 'use_batch_norm': False}",21,2.4535,0.0721,2.4483,0.0097,0.0052,0.0721
"14","{'dropout': 0.14919202839293844, 'hidden_units': 64, 'learning_rate': 0.01793634284780744, 'optimizer': 'RMSprop', 'use_batch_norm': True}",24,1.6046,0.8403,1.7172,0.8411,0.8454,0.8403
"15","{'dropout': 0.4501539209347366, 'hidden_units': 64, 'learning_rate': 0.005592967094508536, 'optimizer': 'RMSprop', 'use_batch_norm': False}",22,1.9508,0.5923,1.9566,0.5596,0.574,0.5923
"16","{'dropout': 0.07279518837977816, 'hidden_units': 512, 'learning_rate': 0.0012827877857328129, 'optimizer': 'Adam', 'use_batch_norm': False}",20,1.6136,0.8602,1.6928,0.8621,0.868,0.8602
"17","{'dropout': 0.026023813367495208, 'hidden_units': 64, 'learning_rate': 0.010584946334843203, 'optimizer': 'Adam', 'use_batch_norm': False}",22,1.8339,0.7499,1.8613,0.7076,0.6771,0.7499
"18","{'dropout': 0.3504539926878342, 'hidden_units': 128, 'learning_rate': 0.01954294611343119, 'optimizer': 'RMSprop', 'use_batch_norm': False}",0,2.4518,0.0555,2.4476,0.0165,0.0129,0.0555
"19","{'dropout': 0.43879752408496503, 'hidden_units': 256, 'learning_rate': 0.011232622520444125, 'optimizer': 'Adam', 'use_batch_norm': False}",0,2.4539,0.0943,2.4553,0.0162,0.0089,0.0943
"20","{'dropout': 0.012873283101246913, 'hidden_units': 256, 'learning_rate': 0.005314572077539792, 'optimizer': 'RMSprop', 'use_batch_norm': False}",0,2.447,0.1498,2.452,0.039,0.0224,0.1498
"21","{'dropout': 0.07672822109736882, 'hidden_units': 512, 'learning_rate': 0.0011082101102141393, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5655,0.8558,1.6927,0.8591,0.8688,0.8558
"22","{'dropout': 0.11074406098416963, 'hidden_units': 512, 'learning_rate': 0.0010427655316215642, 'optimizer': 'Adam', 'use_batch_norm': True}",17,1.5727,0.863,1.6979,0.8656,0.8734,0.863
"23","{'dropout': 0.0952446902196982, 'hidden_units': 512, 'learning_rate': 0.0016964869311140189, 'optimizer': 'Adam', 'use_batch_norm': True}",19,1.5697,0.8669,1.6971,0.867,0.8684,0.8669
"24","{'dropout': 0.0012481442944128757, 'hidden_units': 512, 'learning_rate': 0.003280555335583616, 'optimizer': 'Adam', 'use_batch_norm': True}",14,1.5829,0.8536,1.6967,0.8538,0.8596,0.8536
"25","{'dropout': 0.08809372647280862, 'hidden_units': 512, 'learning_rate': 0.001341832802335556, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5653,0.8658,1.6887,0.8663,0.8725,0.8658
"26","{'dropout': 0.16265766553968575, 'hidden_units': 512, 'learning_rate': 0.0013756290366996674, 'optimizer': 'Adam', 'use_batch_norm': True}",8,1.5943,0.8647,1.6939,0.8664,0.8715,0.8647
"27","{'dropout': 0.11788130185071075, 'hidden_units': 512, 'learning_rate': 0.0032000086559832498, 'optimizer': 'Adam', 'use_batch_norm': True}",13,1.5838,0.853,1.7035,0.8541,0.8592,0.853
"28","{'dropout': 0.1831703132085977, 'hidden_units': 512, 'learning_rate': 0.0015364450161341758, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.568,0.8752,1.6978,0.8751,0.878,0.8752
"29","{'dropout': 0.07562662920781162, 'hidden_units': 512, 'learning_rate': 0.003616743418395238, 'optimizer': 'Adam', 'use_batch_norm': True}",14,1.5787,0.8586,1.7003,0.86,0.8684,0.8586
"30","{'dropout': 0.19885463195669562, 'hidden_units': 512, 'learning_rate': 0.0010286936564397053, 'optimizer': 'Adam', 'use_batch_norm': True}",18,1.5752,0.8713,1.7013,0.8725,0.8788,0.8713
"31","{'dropout': 0.32399055501493057, 'hidden_units': 512, 'learning_rate': 0.002041560606625261, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.5786,0.8552,1.6946,0.8572,0.8657,0.8552
"32","{'dropout': 0.004937207974420807, 'hidden_units': 512, 'learning_rate': 0.001301397819346281, 'optimizer': 'Adam', 'use_batch_norm': True}",17,1.567,0.8763,1.6871,0.8768,0.8796,0.8763
"33","{'dropout': 0.4982798415100905, 'hidden_units': 512, 'learning_rate': 0.001333543135106298, 'optimizer': 'Adam', 'use_batch_norm': True}",15,1.5989,0.8636,1.7023,0.8639,0.8665,0.8636
"34","{'dropout': 0.03846705514546886, 'hidden_units': 128, 'learning_rate': 0.003773969421464202, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.5746,0.8608,1.701,0.8621,0.8685,0.8608
"35","{'dropout': 0.007130749064061248, 'hidden_units': 512, 'learning_rate': 0.0028495056359126893, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5684,0.863,1.6927,0.8644,0.8696,0.863
"36","{'dropout': 0.12800552070509308, 'hidden_units': 128, 'learning_rate': 0.0019632740892766426, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5793,0.8569,1.7059,0.8591,0.8676,0.8569
"37","{'dropout': 0.21984230271350286, 'hidden_units': 512, 'learning_rate': 0.009735166569727356, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.5986,0.8575,1.7065,0.8585,0.8613,0.8575
"38","{'dropout': 0.17692185001045396, 'hidden_units': 512, 'learning_rate': 0.0026259227801594667, 'optimizer': 'Adam', 'use_batch_norm': True}",14,1.581,0.868,1.7064,0.8683,0.8713,0.868
"39","{'dropout': 0.04621601842280025, 'hidden_units': 128, 'learning_rate': 0.00862976524993933, 'optimizer': 'Adam', 'use_batch_norm': True}",19,1.5842,0.8564,1.7106,0.8571,0.8608,0.8564
"40","{'dropout': 0.2458143760833128, 'hidden_units': 256, 'learning_rate': 0.0012348903155082983, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.5754,0.8613,1.6991,0.8631,0.8681,0.8613
"41","{'dropout': 0.3079778611075048, 'hidden_units': 512, 'learning_rate': 0.015754901403330388, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.618,0.8552,1.6957,0.857,0.8653,0.8552
"42","{'dropout': 0.09698898649117206, 'hidden_units': 512, 'learning_rate': 0.002381529489412263, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5666,0.8652,1.6936,0.8668,0.8739,0.8652
"43","{'dropout': 0.359621249820562, 'hidden_units': 256, 'learning_rate': 0.0014662314758716996, 'optimizer': 'Adam', 'use_batch_norm': True}",9,1.6196,0.8608,1.6991,0.8633,0.8706,0.8608
"44","{'dropout': 0.06590560227258449, 'hidden_units': 64, 'learning_rate': 0.001676936326119091, 'optimizer': 'RMSprop', 'use_batch_norm': True}",18,1.5913,0.8364,1.7172,0.8395,0.8514,0.8364
"45","{'dropout': 0.3809356651481525, 'hidden_units': 128, 'learning_rate': 0.0041139687231349096, 'optimizer': 'Adam', 'use_batch_norm': True}",17,1.6165,0.8436,1.7225,0.8447,0.8487,0.8436
"46","{'dropout': 0.26778476427281755, 'hidden_units': 512, 'learning_rate': 0.002173403136273429, 'optimizer': 'RMSprop', 'use_batch_norm': True}",20,1.5799,0.8625,1.7088,0.8608,0.8661,0.8625
"47","{'dropout': 0.40431731795106945, 'hidden_units': 64, 'learning_rate': 0.013947993787737738, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.6446,0.8308,1.724,0.8333,0.8403,0.8308
"48","{'dropout': 0.02614042419704186, 'hidden_units': 512, 'learning_rate': 0.0018469439515337992, 'optimizer': 'RMSprop', 'use_batch_norm': True}",20,1.5744,0.8647,1.6888,0.8659,0.8693,0.8647
"49","{'dropout': 0.14215201279192008, 'hidden_units': 256, 'learning_rate': 0.0012171515840382566, 'optimizer': 'Adam', 'use_batch_norm': False}",16,1.6322,0.863,1.6999,0.8621,0.8631,0.863
"50","{'dropout': 0.0937189577995284, 'hidden_units': 128, 'learning_rate': 0.007570425088988688, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5823,0.8541,1.7082,0.8549,0.8627,0.8541
"51","{'dropout': 0.2260544181161119, 'hidden_units': 64, 'learning_rate': 0.0027892912623618004, 'optimizer': 'RMSprop', 'use_batch_norm': False}",21,1.7848,0.6733,1.8079,0.6191,0.5829,0.6733
"52","{'dropout': 0.02336414285656801, 'hidden_units': 512, 'learning_rate': 0.0016128771238444258, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.5682,0.8686,1.6985,0.8673,0.8706,0.8686
"53","{'dropout': 0.050460596502067655, 'hidden_units': 256, 'learning_rate': 0.0011167788901758902, 'optimizer': 'Adam', 'use_batch_norm': False}",19,1.6229,0.8569,1.6963,0.8592,0.8673,0.8569
"54","{'dropout': 0.17140442910416706, 'hidden_units': 512, 'learning_rate': 0.0030667894169201355, 'optimizer': 'RMSprop', 'use_batch_norm': True}",23,1.5749,0.868,1.6939,0.868,0.8704,0.868
"55","{'dropout': 0.20273480556556212, 'hidden_units': 64, 'learning_rate': 0.005659429883272417, 'optimizer': 'Adam', 'use_batch_norm': True}",16,1.6076,0.8497,1.7192,0.8507,0.8601,0.8497
"56","{'dropout': 0.15211461864241926, 'hidden_units': 512, 'learning_rate': 0.002360447993253648, 'optimizer': 'Adam', 'use_batch_norm': False}",23,1.8038,0.7238,1.84,0.6657,0.628,0.7238
"57","{'dropout': 0.49275199000619097, 'hidden_units': 128, 'learning_rate': 0.001010400337840831, 'optimizer': 'RMSprop', 'use_batch_norm': True}",20,1.6262,0.838,1.7194,0.8396,0.8491,0.838
"58","{'dropout': 0.0037954955988502128, 'hidden_units': 512, 'learning_rate': 0.005109429137381902, 'optimizer': 'Adam', 'use_batch_norm': True}",15,1.5857,0.8669,1.6911,0.868,0.8706,0.8669
"59","{'dropout': 0.29393450016233497, 'hidden_units': 256, 'learning_rate': 0.0014149237854345822, 'optimizer': 'Adam', 'use_batch_norm': False}",23,1.635,0.8502,1.701,0.852,0.8586,0.8502
"60","{'dropout': 0.13234203884965945, 'hidden_units': 512, 'learning_rate': 0.0011499774342020467, 'optimizer': 'Adam', 'use_batch_norm': True}",21,1.5684,0.8647,1.6953,0.8669,0.8736,0.8647
"61","{'dropout': 0.08936007676772477, 'hidden_units': 64, 'learning_rate': 0.004339953820183022, 'optimizer': 'RMSprop', 'use_batch_norm': True}",17,1.5929,0.8525,1.7131,0.851,0.853,0.8525
"62","{'dropout': 0.05569908897585029, 'hidden_units': 512, 'learning_rate': 0.002087874989986715, 'optimizer': 'Adam', 'use_batch_norm': False}",22,1.7317,0.827,1.7732,0.8034,0.7838,0.827
"63","{'dropout': 0.10816697512295184, 'hidden_units': 512, 'learning_rate': 0.001841698218368889, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5674,0.8713,1.6997,0.8701,0.8745,0.8713
"64","{'dropout': 0.030258742832510097, 'hidden_units': 128, 'learning_rate': 0.003415430545769545, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5758,0.8425,1.7067,0.8451,0.8564,0.8425
"65","{'dropout': 0.2598344967841137, 'hidden_units': 512, 'learning_rate': 0.003889790948189403, 'optimizer': 'RMSprop', 'use_batch_norm': True}",21,1.5819,0.8508,1.7148,0.8501,0.8557,0.8508
"66","{'dropout': 0.019337696221244583, 'hidden_units': 512, 'learning_rate': 0.0015084951917083136, 'optimizer': 'RMSprop', 'use_batch_norm': True}",19,1.5703,0.8658,1.6934,0.8666,0.8725,0.8658
"67","{'dropout': 0.03476365740158891, 'hidden_units': 512, 'learning_rate': 0.0018630233212756863, 'optimizer': 'RMSprop', 'use_batch_norm': True}",21,1.5734,0.858,1.7022,0.8585,0.8688,0.858
"68","{'dropout': 0.004022626881139663, 'hidden_units': 512, 'learning_rate': 0.0013136807067871757, 'optimizer': 'RMSprop', 'use_batch_norm': True}",22,1.5709,0.8608,1.7111,0.8626,0.869,0.8608
"69","{'dropout': 0.07302189074200655, 'hidden_units': 512, 'learning_rate': 0.0017660668079711535, 'optimizer': 'RMSprop', 'use_batch_norm': True}",12,1.5842,0.8686,1.7014,0.8669,0.8708,0.8686
"70","{'dropout': 0.12493172052246296, 'hidden_units': 512, 'learning_rate': 0.001003964131627343, 'optimizer': 'RMSprop', 'use_batch_norm': True}",21,1.5717,0.8519,1.701,0.8524,0.8624,0.8519
"71","{'dropout': 0.06111097676271303, 'hidden_units': 512, 'learning_rate': 0.002228101039601007, 'optimizer': 'RMSprop', 'use_batch_norm': True}",10,1.5918,0.8647,1.6892,0.8655,0.8729,0.8647
"72","{'dropout': 0.01827771156499957, 'hidden_units': 512, 'learning_rate': 0.002537561399459916, 'optimizer': 'RMSprop', 'use_batch_norm': True}",22,1.5759,0.8552,1.7125,0.8557,0.863,0.8552
"73","{'dropout': 0.1597619192936257, 'hidden_units': 512, 'learning_rate': 0.001222628237528662, 'optimizer': 'RMSprop', 'use_batch_norm': True}",18,1.5766,0.8597,1.707,0.86,0.8663,0.8597
"74","{'dropout': 0.08184456383773092, 'hidden_units': 512, 'learning_rate': 0.0016200293978936913, 'optimizer': 'RMSprop', 'use_batch_norm': True}",19,1.5779,0.8591,1.7025,0.8603,0.8662,0.8591
"75","{'dropout': 0.1069461979391646, 'hidden_units': 256, 'learning_rate': 0.0019525002924340033, 'optimizer': 'RMSprop', 'use_batch_norm': True}",16,1.5791,0.8691,1.6957,0.8682,0.8709,0.8691
"76","{'dropout': 0.18412451225514503, 'hidden_units': 512, 'learning_rate': 0.0030041448833849223, 'optimizer': 'Adam', 'use_batch_norm': True}",23,1.5725,0.8597,1.6971,0.8614,0.8695,0.8597
"77","{'dropout': 0.04051481095487142, 'hidden_units': 64, 'learning_rate': 0.0015240502418904566, 'optimizer': 'RMSprop', 'use_batch_norm': True}",21,1.5839,0.8558,1.7122,0.8578,0.8634,0.8558
"78","{'dropout': 0.00030648383769726114, 'hidden_units': 512, 'learning_rate': 0.0014059957121902499, 'optimizer': 'Adam', 'use_batch_norm': True}",24,1.5642,0.8724,1.6933,0.873,0.8743,0.8724
"79","{'dropout': 0.13797730739456182, 'hidden_units': 128, 'learning_rate': 0.0027120328109302653, 'optimizer': 'Adam', 'use_batch_norm': False}",23,1.6325,0.8586,1.6952,0.8596,0.8648,0.8586
"80","{'dropout': 0.11672896731101629, 'hidden_units': 512, 'learning_rate': 0.0010924440522753465, 'optimizer': 'RMSprop', 'use_batch_norm': True}",14,1.5777,0.8647,1.6945,0.8655,0.8692,0.8647
"81","{'dropout': 0.19499065168739438, 'hidden_units': 512, 'learning_rate': 0.00485159451906245, 'optimizer': 'Adam', 'use_batch_norm': True}",14,1.5903,0.8486,1.7031,0.8506,0.8618,0.8486
"82","{'dropout': 0.22622558772588713, 'hidden_units': 256, 'learning_rate': 0.0034358585974616188, 'optimizer': 'Adam', 'use_batch_norm': True}",14,1.5921,0.8536,1.7057,0.8539,0.8596,0.8536
"83","{'dropout': 0.06530348690584441, 'hidden_units': 64, 'learning_rate': 0.002264565212898176, 'optimizer': 'Adam', 'use_batch_norm': False}",23,1.6191,0.8591,1.7024,0.8596,0.8629,0.8591
"84","{'dropout': 0.04910101274409048, 'hidden_units': 512, 'learning_rate': 0.0011583652208067773, 'optimizer': 'RMSprop', 'use_batch_norm': True}",23,1.568,0.8652,1.6967,0.8675,0.8747,0.8652
"85","{'dropout': 0.07925915511894116, 'hidden_units': 128, 'learning_rate': 0.0012831225887111654, 'optimizer': 'Adam', 'use_batch_norm': True}",16,1.5884,0.873,1.7017,0.8729,0.8748,0.873
"86","{'dropout': 0.011179455902271526, 'hidden_units': 512, 'learning_rate': 0.006233449341560844, 'optimizer': 'Adam', 'use_batch_norm': True}",19,1.5839,0.8658,1.6987,0.866,0.87,0.8658
"87","{'dropout': 0.4261114689298915, 'hidden_units': 256, 'learning_rate': 0.007334174836914426, 'optimizer': 'RMSprop', 'use_batch_norm': True}",17,1.6167,0.8447,1.7097,0.8433,0.849,0.8447
"88","{'dropout': 0.2419946482821856, 'hidden_units': 512, 'learning_rate': 0.0010544150052269712, 'optimizer': 'Adam', 'use_batch_norm': False}",22,1.6215,0.8575,1.6923,0.8597,0.866,0.8575
"89","{'dropout': 0.10114987533979389, 'hidden_units': 512, 'learning_rate': 0.0020078278499877, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5704,0.8719,1.6919,0.8739,0.8788,0.8719
"90","{'dropout': 0.026610215026310696, 'hidden_units': 64, 'learning_rate': 0.012279366733912176, 'optimizer': 'RMSprop', 'use_batch_norm': True}",8,1.6122,0.8519,1.7088,0.8521,0.8557,0.8519
"91","{'dropout': 0.14703020028223995, 'hidden_units': 512, 'learning_rate': 0.0017091935529445056, 'optimizer': 'Adam', 'use_batch_norm': True}",17,1.5741,0.8752,1.697,0.8742,0.8755,0.8752
"92","{'dropout': 0.08586469857621448, 'hidden_units': 128, 'learning_rate': 0.00146824864097344, 'optimizer': 'Adam', 'use_batch_norm': False}",22,1.6131,0.8625,1.6948,0.8637,0.8689,0.8625
"93","{'dropout': 0.21309494976074458, 'hidden_units': 512, 'learning_rate': 0.002381456602138537, 'optimizer': 'RMSprop', 'use_batch_norm': True}",14,1.5852,0.8547,1.7046,0.8556,0.8647,0.8547
"94","{'dropout': 0.16385675189337584, 'hidden_units': 256, 'learning_rate': 0.006696058315934163, 'optimizer': 'Adam', 'use_batch_norm': True}",20,1.5826,0.8647,1.7026,0.8639,0.8681,0.8647
"95","{'dropout': 0.2854730593369669, 'hidden_units': 512, 'learning_rate': 0.001591481568638368, 'optimizer': 'Adam', 'use_batch_norm': True}",19,1.5793,0.8752,1.6904,0.8759,0.8787,0.8752
"96","{'dropout': 0.03731118829524842, 'hidden_units': 64, 'learning_rate': 0.0029833052812150607, 'optimizer': 'RMSprop', 'use_batch_norm': True}",24,1.5832,0.8358,1.7177,0.8379,0.8532,0.8358
"97","{'dropout': 0.3341854978741533, 'hidden_units': 512, 'learning_rate': 0.0025305967469516225, 'optimizer': 'Adam', 'use_batch_norm': False}",24,1.7877,0.7887,1.8209,0.7792,0.776,0.7887
"98","{'dropout': 0.056270952188467616, 'hidden_units': 128, 'learning_rate': 0.001856913443266892, 'optimizer': 'RMSprop', 'use_batch_norm': True}",17,1.5845,0.8586,1.7013,0.8587,0.8631,0.8586
"99","{'dropout': 0.1251362715459965, 'hidden_units': 512, 'learning_rate': 0.00866608572367827, 'optimizer': 'Adam', 'use_batch_norm': True}",22,1.5922,0.8369,1.7073,0.8387,0.8574,0.8369
